Interface	Status	N_residues	N_matched	N_missing	Center_disp_A	Req_CX	Req_CY	Req_CZ	Req_SX	Req_SY	Req_SZ	V2_CX	V2_CY	V2_CZ	V2_SX	V2_SY	V2_SZ	Sug_CX	Sug_CY	Sug_CZ	Sug_SX	Sug_SY	Sug_SZ	Issues
NSP12-NSP7	FAIL	8	8	0	22.801	94.401	73.209	121.340	30.8	44.4	29.0	100.015	89.131	106.015	32.2	58.4	54.6	94.401	73.209	121.340	32.0	46.0	30.0	X-min: v2=83.90 > req=78.98 (under 4.92Å)|Y-min: v2=59.94 > req=51.00 (under 8.93Å)|Z-max: v2=133.34 < req=135.82 (short 2.48Å)
NSP12-NSP8	FAIL	24	24	0	4.907	95.325	117.201	110.709	65.2	48.6	44.3	98.620	119.740	113.310	65.0	49.0	44.0	95.325	117.201	110.709	66.0	50.0	46.0	X-min: v2=66.12 > req=62.71 (under 3.41Å)|Y-min: v2=95.24 > req=92.88 (under 2.36Å)|Z-min: v2=91.31 > req=88.55 (under 2.76Å)
NSP9-NSP12	FAIL	22	22	0	1.736	134.504	168.078	175.149	45.6	38.4	46.3	133.250	167.400	176.140	46.0	38.0	46.0	134.504	168.078	175.149	46.0	40.0	48.0	X-max: v2=156.25 < req=157.32 (short 1.07Å)|Y-max: v2=186.40 < req=187.28 (short 0.88Å)|Z-min: v2=153.14 > req=152.02 (under 1.12Å)
NSP10-NSP16	FAIL	12	12	0	2.423	74.163	22.930	17.098	31.9	43.9	37.6	73.510	22.270	14.860	32.0	44.0	39.0	74.163	22.930	17.098	32.0	44.0	38.0	X-max: v2=89.51 < req=90.11 (short 0.60Å)|Y-max: v2=44.27 < req=44.90 (short 0.63Å)|Z-max: v2=34.36 < req=35.89 (short 1.53Å)
NSP7-NSP8	FAIL	6	6	0	2.745	-9.252	-10.325	-13.930	32.3	39.9	30.1	-7.980	-11.619	-11.870	47.3	39.9	37.0	-9.252	-10.325	-13.930	34.0	40.0	32.0	Y-max: v2=8.33 < req=9.61 (short 1.28Å)
NSP10-NSP14	FAIL	21	21	0	7.874	-7.499	4.093	-19.631	57.9	55.0	71.1	-3.700	7.460	-25.650	39.0	42.0	57.0	-7.499	4.093	-19.631	58.0	56.0	72.0	X-min: v2=-23.20 > req=-36.45 (under 13.25Å)|X-max: v2=15.80 < req=21.45 (short 5.65Å)|Y-min: v2=-13.54 > req=-23.42 (under 9.88Å)|Y-max: v2=28.46 < req=31.61 (short 3.15Å)|Z-min: v2=-54.15 > req=-55.17 (under 1.02Å)|Z-max: v2=2.85 < req=15.91 (short 13.06Å)
NSP13-Helicase	FAIL	19	19	0	3.745	-32.205	12.718	-6.774	41.1	40.5	41.2	-30.151	14.648	-9.240	46.0	46.0	36.0	-32.205	12.718	-6.774	42.0	42.0	42.0	Z-min: v2=-27.24 > req=-27.35 (under 0.11Å)|Z-max: v2=8.76 < req=13.81 (short 5.05Å)
NSP12-NSP13	FAIL	7	7	0	2.995	200.254	194.151	156.838	28.2	27.2	26.0	198.500	194.000	159.260	24.0	24.0	24.0	200.254	194.151	156.838	30.0	28.0	26.0	X-min: v2=186.50 > req=186.14 (under 0.36Å)|X-max: v2=210.50 < req=214.37 (short 3.87Å)|Y-min: v2=182.00 > req=180.53 (under 1.47Å)|Y-max: v2=206.00 < req=207.77 (short 1.77Å)|Z-min: v2=147.26 > req=143.85 (under 3.41Å)
NSP15	FAIL	20	20	0	13.001	-59.490	39.441	-21.127	33.1	50.5	51.6	-70.407	44.044	-15.772	52.0	52.0	50.0	-59.490	39.441	-21.127	34.0	52.0	52.0	X-max: v2=-44.41 < req=-42.94 (short 1.47Å)|Y-min: v2=18.04 > req=14.19 (under 3.85Å)|Z-min: v2=-40.77 > req=-46.94 (under 6.16Å)
